         Vardas        Pavarde     Galutinis balas
        Vardas3       Pavarde3                5.50
        Vardas7       Pavarde7                5.19
        Vardas8       Pavarde8                5.93
        Vardas9       Pavarde9                5.43
       Vardas10      Pavarde10                6.18
       Vardas11      Pavarde11                6.79
       Vardas12      Pavarde12                7.41
       Vardas13      Pavarde13                5.33
       Vardas14      Pavarde14                7.82
       Vardas16      Pavarde16                7.67
       Vardas18      Pavarde18                7.54
       Vardas20      Pavarde20                7.19
       Vardas21      Pavarde21                5.31
       Vardas22      Pavarde22                7.89
       Vardas23      Pavarde23                7.81
       Vardas24      Pavarde24                7.16
       Vardas25      Pavarde25                6.66
       Vardas26      Pavarde26                5.85
       Vardas27      Pavarde27                6.81
       Vardas28      Pavarde28                5.00
       Vardas30      Pavarde30                8.25
       Vardas31      Pavarde31                6.87
       Vardas33      Pavarde33                8.83
       Vardas34      Pavarde34                5.82
       Vardas35      Pavarde35                7.23
       Vardas36      Pavarde36                5.42
       Vardas37      Pavarde37                6.89
       Vardas38      Pavarde38                6.39
       Vardas39      Pavarde39                5.46
       Vardas40      Pavarde40                5.39
       Vardas41      Pavarde41                7.69
       Vardas42      Pavarde42                7.68
       Vardas43      Pavarde43                6.28
       Vardas45      Pavarde45                5.96
       Vardas47      Pavarde47                5.51
       Vardas48      Pavarde48                8.33
       Vardas49      Pavarde49                5.02
       Vardas53      Pavarde53                7.17
       Vardas54      Pavarde54                5.73
       Vardas58      Pavarde58                6.24
       Vardas59      Pavarde59                5.89
       Vardas60      Pavarde60                8.43
       Vardas61      Pavarde61                7.09
       Vardas63      Pavarde63                5.59
       Vardas64      Pavarde64                8.58
       Vardas65      Pavarde65                5.37
       Vardas67      Pavarde67                5.30
       Vardas68      Pavarde68                7.00
       Vardas70      Pavarde70                8.24
       Vardas71      Pavarde71                8.01
       Vardas72      Pavarde72                6.99
       Vardas75      Pavarde75                5.89
       Vardas76      Pavarde76                7.26
       Vardas77      Pavarde77                5.55
       Vardas78      Pavarde78                5.60
       Vardas82      Pavarde82                6.51
       Vardas83      Pavarde83                7.84
       Vardas84      Pavarde84                7.22
       Vardas85      Pavarde85                5.28
       Vardas86      Pavarde86                7.64
       Vardas87      Pavarde87                5.52
       Vardas89      Pavarde89                5.60
       Vardas91      Pavarde91                6.08
       Vardas94      Pavarde94                7.54
       Vardas95      Pavarde95                6.35
       Vardas96      Pavarde96                6.99
       Vardas97      Pavarde97                6.88
      Vardas100     Pavarde100                7.62
      Vardas101     Pavarde101                6.76
      Vardas102     Pavarde102                6.65
      Vardas103     Pavarde103                5.41
      Vardas104     Pavarde104                6.40
      Vardas106     Pavarde106                6.42
      Vardas115     Pavarde115                7.50
      Vardas117     Pavarde117                7.11
      Vardas124     Pavarde124                5.51
      Vardas126     Pavarde126                7.78
      Vardas127     Pavarde127                6.95
      Vardas128     Pavarde128                7.69
      Vardas129     Pavarde129                6.00
      Vardas131     Pavarde131                7.27
      Vardas133     Pavarde133                5.23
      Vardas136     Pavarde136                6.63
      Vardas139     Pavarde139                6.96
      Vardas143     Pavarde143                7.42
      Vardas144     Pavarde144                7.88
      Vardas145     Pavarde145                7.95
      Vardas146     Pavarde146                5.68
      Vardas148     Pavarde148                7.68
      Vardas149     Pavarde149                5.87
      Vardas150     Pavarde150                6.45
      Vardas151     Pavarde151                7.45
      Vardas152     Pavarde152                7.30
      Vardas153     Pavarde153                5.29
      Vardas154     Pavarde154                6.94
      Vardas155     Pavarde155                5.04
      Vardas157     Pavarde157                5.78
      Vardas159     Pavarde159                7.40
      Vardas162     Pavarde162                6.95
      Vardas163     Pavarde163                6.13
      Vardas165     Pavarde165                6.92
      Vardas166     Pavarde166                5.30
      Vardas167     Pavarde167                7.09
      Vardas169     Pavarde169                5.93
      Vardas170     Pavarde170                6.44
      Vardas171     Pavarde171                7.57
