         Vardas        Pavarde     Galutinis balas
        Vardas1       Pavarde1                3.41
        Vardas2       Pavarde2                3.27
        Vardas4       Pavarde4                3.43
        Vardas5       Pavarde5                2.93
        Vardas6       Pavarde6                3.30
       Vardas15      Pavarde15                4.58
       Vardas17      Pavarde17                4.87
       Vardas19      Pavarde19                4.72
       Vardas29      Pavarde29                4.27
       Vardas32      Pavarde32                2.95
       Vardas44      Pavarde44                4.48
       Vardas46      Pavarde46                3.85
       Vardas50      Pavarde50                3.96
       Vardas51      Pavarde51                2.79
       Vardas52      Pavarde52                4.01
       Vardas55      Pavarde55                2.92
       Vardas56      Pavarde56                3.62
       Vardas57      Pavarde57                4.26
       Vardas62      Pavarde62                2.81
       Vardas66      Pavarde66                3.92
       Vardas69      Pavarde69                3.58
       Vardas73      Pavarde73                4.85
       Vardas74      Pavarde74                3.49
       Vardas79      Pavarde79                3.32
       Vardas80      Pavarde80                4.27
       Vardas81      Pavarde81                3.72
       Vardas88      Pavarde88                2.44
       Vardas90      Pavarde90                2.27
       Vardas92      Pavarde92                4.55
       Vardas93      Pavarde93                3.96
       Vardas98      Pavarde98                4.74
       Vardas99      Pavarde99                3.42
      Vardas105     Pavarde105                4.23
      Vardas107     Pavarde107                3.57
      Vardas108     Pavarde108                3.71
      Vardas109     Pavarde109                3.47
      Vardas110     Pavarde110                3.05
      Vardas111     Pavarde111                4.48
      Vardas112     Pavarde112                4.54
      Vardas113     Pavarde113                2.97
      Vardas114     Pavarde114                3.58
      Vardas116     Pavarde116                2.95
      Vardas118     Pavarde118                4.12
      Vardas119     Pavarde119                3.99
      Vardas120     Pavarde120                3.42
      Vardas121     Pavarde121                4.97
      Vardas122     Pavarde122                3.67
      Vardas123     Pavarde123                4.45
      Vardas125     Pavarde125                3.43
      Vardas130     Pavarde130                4.37
      Vardas132     Pavarde132                3.99
      Vardas134     Pavarde134                4.56
      Vardas135     Pavarde135                3.29
      Vardas137     Pavarde137                3.32
      Vardas138     Pavarde138                3.27
      Vardas140     Pavarde140                3.37
      Vardas141     Pavarde141                2.70
      Vardas142     Pavarde142                4.23
      Vardas147     Pavarde147                3.50
      Vardas156     Pavarde156                4.83
      Vardas158     Pavarde158                3.65
      Vardas160     Pavarde160                4.66
      Vardas161     Pavarde161                4.22
      Vardas164     Pavarde164                4.11
      Vardas168     Pavarde168                3.65
      Vardas172     Pavarde172                3.57
      Vardas173     Pavarde173                3.42
      Vardas174     Pavarde174                4.53
      Vardas178     Pavarde178                4.91
      Vardas179     Pavarde179                3.04
